Region,City,Pregnancy Period,Birth Weight,Number of Births
北部,新北市,28週以下,1000克及以下,9
北部,新北市,28週以下,1001～1500克,2
北部,新北市,28～31週,1000克及以下,2
北部,新北市,28～31週,1001～1500克,10
北部,新北市,28～31週,1501～2000克,5
北部,新北市,28～31週,2001～2500克,1
北部,新北市,32～35週,1000克及以下,1
北部,新北市,32～35週,1001～1500克,4
北部,新北市,32～35週,1501～2000克,28
北部,新北市,32～35週,2001～2500克,59
北部,新北市,32～35週,2501～3000克,20
北部,新北市,32～35週,3001～3500克,3
北部,新北市,36週,1001～1500克,1
北部,新北市,36週,1501～2000克,5
北部,新北市,36週,2001～2500克,41
北部,新北市,36週,2501～3000克,60
北部,新北市,36週,3001～3500克,21
北部,新北市,36週,4001～4500克,1
北部,新北市,37～39週,1501～2000克,4
北部,新北市,37～39週,2001～2500克,101
北部,新北市,37～39週,2501～3000克,687
北部,新北市,37～39週,3001～3500克,722
北部,新北市,37～39週,3501～4000克,174
北部,新北市,37～39週,4001～4500克,9
北部,新北市,37～39週,4501～5000克,1
北部,新北市,40週,1501～2000克,1
北部,新北市,40週,2001～2500克,2
北部,新北市,40週,2501～3000克,47
北部,新北市,40週,3001～3500克,126
北部,新北市,40週,3501～4000克,27
北部,新北市,40週,4001～4500克,3
北部,新北市,41～42週,2501～3000克,1
北部,新北市,41～42週,3001～3500克,3
北部,新北市,41～42週,3501～4000克,2
北部,新北市,28週以下,1000克及以下,12
北部,新北市,28週以下,1001～1500克,1
北部,新北市,28～31週,1001～1500克,5
北部,新北市,28～31週,1501～2000克,4
北部,新北市,32～35週,1001～1500克,4
北部,新北市,32～35週,1501～2000克,14
北部,新北市,32～35週,2001～2500克,23
北部,新北市,32～35週,2501～3000克,10
北部,新北市,32～35週,3001～3500克,2
北部,新北市,36週,1501～2000克,4
北部,新北市,36週,2001～2500克,25
北部,新北市,36週,2501～3000克,25
北部,新北市,36週,3001～3500克,7
北部,新北市,36週,3501～4000克,1
北部,新北市,37～39週,2001～2500克,79
北部,新北市,37～39週,2501～3000克,489
北部,新北市,37～39週,3001～3500克,505
北部,新北市,37～39週,3501～4000克,107
北部,新北市,37～39週,4001～4500克,6
北部,新北市,40週,2001～2500克,1
北部,新北市,40週,2501～3000克,23
北部,新北市,40週,3001～3500克,74
北部,新北市,40週,3501～4000克,24
北部,新北市,41～42週,2501～3000克,1
北部,新北市,41～42週,3001～3500克,2
北部,新北市,41～42週,3501～4000克,1
北部,新北市,28週以下,1000克及以下,8
北部,新北市,28～31週,1000克及以下,1
北部,新北市,28～31週,1001～1500克,10
北部,新北市,28～31週,1501～2000克,3
北部,新北市,32～35週,1000克及以下,1
北部,新北市,32～35週,1001～1500克,5
北部,新北市,32～35週,1501～2000克,22
北部,新北市,32～35週,2001～2500克,24
北部,新北市,32～35週,2501～3000克,5
北部,新北市,32～35週,3001～3500克,1
北部,新北市,32～35週,3501～4000克,1
北部,新北市,36週,1501～2000克,6
北部,新北市,36週,2001～2500克,16
北部,新北市,36週,2501～3000克,35
北部,新北市,36週,3001～3500克,7
北部,新北市,36週,3501～4000克,1
北部,新北市,37～39週,1501～2000克,2
北部,新北市,37～39週,2001～2500克,56
北部,新北市,37～39週,2501～3000克,419
北部,新北市,37～39週,3001～3500克,525
北部,新北市,37～39週,3501～4000克,103
北部,新北市,37～39週,4001～4500克,12
北部,新北市,37～39週,4501～5000克,1
北部,新北市,40週,2001～2500克,2
北部,新北市,40週,2501～3000克,45
北部,新北市,40週,3001～3500克,81
北部,新北市,40週,3501～4000克,24
北部,新北市,40週,4001～4500克,3
北部,新北市,41～42週,2501～3000克,6
北部,新北市,41～42週,3001～3500克,7
北部,新北市,41～42週,3501～4000克,2
北部,新北市,28週以下,1000克及以下,4
北部,新北市,28～31週,1001～1500克,2
北部,新北市,32～35週,1001～1500克,1
北部,新北市,32～35週,1501～2000克,7
北部,新北市,32～35週,2001～2500克,6
北部,新北市,32～35週,2501～3000克,7
北部,新北市,32～35週,3001～3500克,1
北部,新北市,36週,2001～2500克,8
北部,新北市,36週,2501～3000克,9
北部,新北市,36週,3001～3500克,2
北部,新北市,37～39週,1501～2000克,1
北部,新北市,37～39週,2001～2500克,39
北部,新北市,37～39週,2501～3000克,203
北部,新北市,37～39週,3001～3500克,219
北部,新北市,37～39週,3501～4000克,46
北部,新北市,37～39週,4001～4500克,4
北部,新北市,40週,2001～2500克,1
北部,新北市,40週,2501～3000克,7
北部,新北市,40週,3001～3500克,27
北部,新北市,40週,3501～4000克,10
北部,新北市,41～42週,3001～3500克,1
北部,新北市,28週以下,1000克及以下,20
北部,新北市,28週以下,1001～1500克,3
北部,新北市,28～31週,1000克及以下,2
北部,新北市,28～31週,1501～2000克,10
北部,新北市,28～31週,2001～2500克,1
北部,新北市,32～35週,1000克及以下,1
北部,新北市,32～35週,1001～1500克,5
北部,新北市,32～35週,1501～2000克,25
北部,新北市,32～35週,2001～2500克,36
北部,新北市,32～35週,2501～3000克,8
北部,新北市,32～35週,3001～3500克,3
北部,新北市,32～35週,3501～4000克,1
北部,新北市,36週,1001～1500克,1
北部,新北市,36週,1501～2000克,5
北部,新北市,36週,2001～2500克,38
北部,新北市,36週,2501～3000克,45
北部,新北市,36週,3001～3500克,12
北部,新北市,36週,3501～4000克,2
北部,新北市,36週,4001～4500克,1
北部,新北市,37～39週,1501～2000克,2
北部,新北市,37～39週,2001～2500克,83
北部,新北市,37～39週,2501～3000克,598
北部,新北市,37～39週,3001～3500克,697
北部,新北市,37～39週,3501～4000克,150
北部,新北市,37～39週,4001～4500克,9
北部,新北市,37～39週,4501～5000克,1
北部,新北市,40週,2501～3000克,51
北部,新北市,40週,3001～3500克,97
北部,新北市,40週,3501～4000克,35
北部,新北市,41～42週,2501～3000克,1
北部,新北市,41～42週,3001～3500克,4
北部,新北市,41～42週,3501～4000克,3
北部,新北市,28週以下,1000克及以下,5
北部,新北市,28週以下,1001～1500克,1
北部,新北市,28～31週,1001～1500克,4
北部,新北市,28～31週,1501～2000克,1
北部,新北市,32～35週,1001～1500克,2
北部,新北市,32～35週,1501～2000克,6
北部,新北市,32～35週,2001～2500克,12
北部,新北市,32～35週,2501～3000克,8
北部,新北市,32～35週,3001～3500克,1
北部,新北市,36週,1501～2000克,2
北部,新北市,36週,2001～2500克,16
北部,新北市,36週,2501～3000克,17
北部,新北市,36週,3001～3500克,5
北部,新北市,36週,3501～4000克,1
北部,新北市,37～39週,1501～2000克,2
北部,新北市,37～39週,2001～2500克,41
北部,新北市,37～39週,2501～3000克,363
北部,新北市,37～39週,3001～3500克,355
北部,新北市,37～39週,3501～4000克,70
北部,新北市,37～39週,4001～4500克,5
北部,新北市,40週,2001～2500克,2
北部,新北市,40週,2501～3000克,19
北部,新北市,40週,3001～3500克,38
北部,新北市,40週,3501～4000克,20
北部,新北市,40週,4001～4500克,1
北部,新北市,41～42週,2501～3000克,1
北部,新北市,41～42週,3001～3500克,3
北部,新北市,41～42週,4001～4500克,1
北部,新北市,28週以下,1000克及以下,3
北部,新北市,28週以下,1001～1500克,1
北部,新北市,28～31週,1000克及以下,1
北部,新北市,28～31週,1001～1500克,2
北部,新北市,28～31週,1501～2000克,2
北部,新北市,32～35週,1501～2000克,10
北部,新北市,32～35週,2001～2500克,11
北部,新北市,32～35週,2501～3000克,14
北部,新北市,32～35週,3001～3500克,2
北部,新北市,36週,2001～2500克,11
北部,新北市,36週,2501～3000克,29
